LED01,LED02,LED03,LED04,LED05,LED06,LED07,LED08,LED09,LED10,LED11,LED12,Resolution,nLoop
50,50,50,50,50,50,50,50,50,50,50,50,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
53,53,53,53,53,53,53,53,53,53,53,53,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
45,45,45,45,45,45,45,45,45,45,45,45,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
57,57,57,57,57,57,57,57,57,57,57,57,10000.0,1500.0
1,1,1,1,1,1,1,1,1,1,1,1,10000.0,1500.0
42,42,42,42,42,42,42,42,42,42,42,42,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
60,60,60,60,60,60,60,60,60,60,60,60,10000.0,1500.0
1,1,1,1,1,1,1,1,1,1,1,1,10000.0,1500.0
39,39,39,39,39,39,39,39,39,39,39,39,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
62,62,62,62,62,62,62,62,62,62,62,62,10000.0,1500.0
1,1,1,1,1,1,1,1,1,1,1,1,10000.0,1500.0
38,38,38,38,38,38,38,38,38,38,38,38,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
63,63,63,63,63,63,63,63,63,63,63,63,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
37,37,37,37,37,37,37,37,37,37,37,37,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
63,63,63,63,63,63,63,63,63,63,63,63,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
37,37,37,37,37,37,37,37,37,37,37,37,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
62,62,62,62,62,62,62,62,62,62,62,62,10000.0,1500.0
1,1,1,1,1,1,1,1,1,1,1,1,10000.0,1500.0
39,39,39,39,39,39,39,39,39,39,39,39,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
60,60,60,60,60,60,60,60,60,60,60,60,10000.0,1500.0
1,1,1,1,1,1,1,1,1,1,1,1,10000.0,1500.0
41,41,41,41,41,41,41,41,41,41,41,41,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
57,57,57,57,57,57,57,57,57,57,57,57,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
45,45,45,45,45,45,45,45,45,45,45,45,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
53,53,53,53,53,53,53,53,53,53,53,53,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
49,49,49,49,49,49,49,49,49,49,49,49,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
48,48,48,48,48,48,48,48,48,48,48,48,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
55,55,55,55,55,55,55,55,55,55,55,55,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
42,42,42,42,42,42,42,42,42,42,42,42,10000.0,1500.0
1,1,1,1,1,1,1,1,1,1,1,1,10000.0,1500.0
61,61,61,61,61,61,61,61,61,61,61,61,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
36,36,36,36,36,36,36,36,36,36,36,36,10000.0,1500.0
3,3,3,3,3,3,3,3,3,3,3,3,10000.0,1500.0
68,68,68,68,68,68,68,68,68,68,68,68,10000.0,1500.0
96,96,96,96,96,96,96,96,96,96,96,96,10000.0,1500.0
28,28,28,28,28,28,28,28,28,28,28,28,10000.0,1500.0
6,6,6,6,6,6,6,6,6,6,6,6,10000.0,1500.0
76,76,76,76,76,76,76,76,76,76,76,76,10000.0,1500.0
92,92,92,92,92,92,92,92,92,92,92,92,10000.0,1500.0
21,21,21,21,21,21,21,21,21,21,21,21,10000.0,1500.0
11,11,11,11,11,11,11,11,11,11,11,11,10000.0,1500.0
83,83,83,83,83,83,83,83,83,83,83,83,10000.0,1500.0
86,86,86,86,86,86,86,86,86,86,86,86,10000.0,1500.0
13,13,13,13,13,13,13,13,13,13,13,13,10000.0,1500.0
18,18,18,18,18,18,18,18,18,18,18,18,10000.0,1500.0
90,90,90,90,90,90,90,90,90,90,90,90,10000.0,1500.0
77,77,77,77,77,77,77,77,77,77,77,77,10000.0,1500.0
7,7,7,7,7,7,7,7,7,7,7,7,10000.0,1500.0
28,28,28,28,28,28,28,28,28,28,28,28,10000.0,1500.0
96,96,96,96,96,96,96,96,96,96,96,96,10000.0,1500.0
67,67,67,67,67,67,67,67,67,67,67,67,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
39,39,39,39,39,39,39,39,39,39,39,39,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
54,54,54,54,54,54,54,54,54,54,54,54,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
52,52,52,52,52,52,52,52,52,52,52,52,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
41,41,41,41,41,41,41,41,41,41,41,41,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
66,66,66,66,66,66,66,66,66,66,66,66,10000.0,1500.0
96,96,96,96,96,96,96,96,96,96,96,96,10000.0,1500.0
27,27,27,27,27,27,27,27,27,27,27,27,10000.0,1500.0
8,8,8,8,8,8,8,8,8,8,8,8,10000.0,1500.0
80,80,80,80,80,80,80,80,80,80,80,80,10000.0,1500.0
88,88,88,88,88,88,88,88,88,88,88,88,10000.0,1500.0
14,14,14,14,14,14,14,14,14,14,14,14,10000.0,1500.0
18,18,18,18,18,18,18,18,18,18,18,18,10000.0,1500.0
91,91,91,91,91,91,91,91,91,91,91,91,10000.0,1500.0
75,75,75,75,75,75,75,75,75,75,75,75,10000.0,1500.0
5,5,5,5,5,5,5,5,5,5,5,5,10000.0,1500.0
33,33,33,33,33,33,33,33,33,33,33,33,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
59,59,59,59,59,59,59,59,59,59,59,59,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
51,51,51,51,51,51,51,51,51,51,51,51,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
40,40,40,40,40,40,40,40,40,40,40,40,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
69,69,69,69,69,69,69,69,69,69,69,69,10000.0,1500.0
94,94,94,94,94,94,94,94,94,94,94,94,10000.0,1500.0
22,22,22,22,22,22,22,22,22,22,22,22,10000.0,1500.0
11,11,11,11,11,11,11,11,11,11,11,11,10000.0,1500.0
86,86,86,86,86,86,86,86,86,86,86,86,10000.0,1500.0
81,81,81,81,81,81,81,81,81,81,81,81,10000.0,1500.0
8,8,8,8,8,8,8,8,8,8,8,8,10000.0,1500.0
28,28,28,28,28,28,28,28,28,28,28,28,10000.0,1500.0
97,97,97,97,97,97,97,97,97,97,97,97,10000.0,1500.0
62,62,62,62,62,62,62,62,62,62,62,62,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
49,49,49,49,49,49,49,49,49,49,49,49,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
40,40,40,40,40,40,40,40,40,40,40,40,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
71,71,71,71,71,71,71,71,71,71,71,71,10000.0,1500.0
93,93,93,93,93,93,93,93,93,93,93,93,10000.0,1500.0
19,19,19,19,19,19,19,19,19,19,19,19,10000.0,1500.0
15,15,15,15,15,15,15,15,15,15,15,15,10000.0,1500.0
89,89,89,89,89,89,89,89,89,89,89,89,10000.0,1500.0
76,76,76,76,76,76,76,76,76,76,76,76,10000.0,1500.0
4,4,4,4,4,4,4,4,4,4,4,4,10000.0,1500.0
35,35,35,35,35,35,35,35,35,35,35,35,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
52,52,52,52,52,52,52,52,52,52,52,52,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
61,61,61,61,61,61,61,61,61,61,61,61,10000.0,1500.0
97,97,97,97,97,97,97,97,97,97,97,97,10000.0,1500.0
27,27,27,27,27,27,27,27,27,27,27,27,10000.0,1500.0
9,9,9,9,9,9,9,9,9,9,9,9,10000.0,1500.0
84,84,84,84,84,84,84,84,84,84,84,84,10000.0,1500.0
82,82,82,82,82,82,82,82,82,82,82,82,10000.0,1500.0
7,7,7,7,7,7,7,7,7,7,7,7,10000.0,1500.0
30,30,30,30,30,30,30,30,30,30,30,30,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
56,56,56,56,56,56,56,56,56,56,56,56,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
58,58,58,58,58,58,58,58,58,58,58,58,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
28,28,28,28,28,28,28,28,28,28,28,28,10000.0,1500.0
9,9,9,9,9,9,9,9,9,9,9,9,10000.0,1500.0
84,84,84,84,84,84,84,84,84,84,84,84,10000.0,1500.0
81,81,81,81,81,81,81,81,81,81,81,81,10000.0,1500.0
7,7,7,7,7,7,7,7,7,7,7,7,10000.0,1500.0
32,32,32,32,32,32,32,32,32,32,32,32,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
53,53,53,53,53,53,53,53,53,53,53,53,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
62,62,62,62,62,62,62,62,62,62,62,62,10000.0,1500.0
96,96,96,96,96,96,96,96,96,96,96,96,10000.0,1500.0
23,23,23,23,23,23,23,23,23,23,23,23,10000.0,1500.0
13,13,13,13,13,13,13,13,13,13,13,13,10000.0,1500.0
89,89,89,89,89,89,89,89,89,89,89,89,10000.0,1500.0
75,75,75,75,75,75,75,75,75,75,75,75,10000.0,1500.0
3,3,3,3,3,3,3,3,3,3,3,3,10000.0,1500.0
41,41,41,41,41,41,41,41,41,41,41,41,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
42,42,42,42,42,42,42,42,42,42,42,42,10000.0,1500.0
3,3,3,3,3,3,3,3,3,3,3,3,10000.0,1500.0
74,74,74,74,74,74,74,74,74,74,74,74,10000.0,1500.0
89,89,89,89,89,89,89,89,89,89,89,89,10000.0,1500.0
13,13,13,13,13,13,13,13,13,13,13,13,10000.0,1500.0
24,24,24,24,24,24,24,24,24,24,24,24,10000.0,1500.0
96,96,96,96,96,96,96,96,96,96,96,96,10000.0,1500.0
60,60,60,60,60,60,60,60,60,60,60,60,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
58,58,58,58,58,58,58,58,58,58,58,58,10000.0,1500.0
97,97,97,97,97,97,97,97,97,97,97,97,10000.0,1500.0
25,25,25,25,25,25,25,25,25,25,25,25,10000.0,1500.0
12,12,12,12,12,12,12,12,12,12,12,12,10000.0,1500.0
89,89,89,89,89,89,89,89,89,89,89,89,10000.0,1500.0
74,74,74,74,74,74,74,74,74,74,74,74,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
44,44,44,44,44,44,44,44,44,44,44,44,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
37,37,37,37,37,37,37,37,37,37,37,37,10000.0,1500.0
5,5,5,5,5,5,5,5,5,5,5,5,10000.0,1500.0
80,80,80,80,80,80,80,80,80,80,80,80,10000.0,1500.0
83,83,83,83,83,83,83,83,83,83,83,83,10000.0,1500.0
7,7,7,7,7,7,7,7,7,7,7,7,10000.0,1500.0
34,34,34,34,34,34,34,34,34,34,34,34,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
47,47,47,47,47,47,47,47,47,47,47,47,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
73,73,73,73,73,73,73,73,73,73,73,73,10000.0,1500.0
89,89,89,89,89,89,89,89,89,89,89,89,10000.0,1500.0
11,11,11,11,11,11,11,11,11,11,11,11,10000.0,1500.0
27,27,27,27,27,27,27,27,27,27,27,27,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
53,53,53,53,53,53,53,53,53,53,53,53,10000.0,1500.0
1,1,1,1,1,1,1,1,1,1,1,1,10000.0,1500.0
67,67,67,67,67,67,67,67,67,67,67,67,10000.0,1500.0
92,92,92,92,92,92,92,92,92,92,92,92,10000.0,1500.0
15,15,15,15,15,15,15,15,15,15,15,15,10000.0,1500.0
23,23,23,23,23,23,23,23,23,23,23,23,10000.0,1500.0
97,97,97,97,97,97,97,97,97,97,97,97,10000.0,1500.0
57,57,57,57,57,57,57,57,57,57,57,57,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
65,65,65,65,65,65,65,65,65,65,65,65,10000.0,1500.0
93,93,93,93,93,93,93,93,93,93,93,93,10000.0,1500.0
16,16,16,16,16,16,16,16,16,16,16,16,10000.0,1500.0
22,22,22,22,22,22,22,22,22,22,22,22,10000.0,1500.0
97,97,97,97,97,97,97,97,97,97,97,97,10000.0,1500.0
57,57,57,57,57,57,57,57,57,57,57,57,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
65,65,65,65,65,65,65,65,65,65,65,65,10000.0,1500.0
93,93,93,93,93,93,93,93,93,93,93,93,10000.0,1500.0
15,15,15,15,15,15,15,15,15,15,15,15,10000.0,1500.0
23,23,23,23,23,23,23,23,23,23,23,23,10000.0,1500.0
97,97,97,97,97,97,97,97,97,97,97,97,10000.0,1500.0
55,55,55,55,55,55,55,55,55,55,55,55,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
69,69,69,69,69,69,69,69,69,69,69,69,10000.0,1500.0
91,91,91,91,91,91,91,91,91,91,91,91,10000.0,1500.0
12,12,12,12,12,12,12,12,12,12,12,12,10000.0,1500.0
27,27,27,27,27,27,27,27,27,27,27,27,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
49,49,49,49,49,49,49,49,49,49,49,49,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
74,74,74,74,74,74,74,74,74,74,74,74,10000.0,1500.0
86,86,86,86,86,86,86,86,86,86,86,86,10000.0,1500.0
8,8,8,8,8,8,8,8,8,8,8,8,10000.0,1500.0
35,35,35,35,35,35,35,35,35,35,35,35,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
40,40,40,40,40,40,40,40,40,40,40,40,10000.0,1500.0
5,5,5,5,5,5,5,5,5,5,5,5,10000.0,1500.0
82,82,82,82,82,82,82,82,82,82,82,82,10000.0,1500.0
79,79,79,79,79,79,79,79,79,79,79,79,10000.0,1500.0
3,3,3,3,3,3,3,3,3,3,3,3,10000.0,1500.0
45,45,45,45,45,45,45,45,45,45,45,45,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
29,29,29,29,29,29,29,29,29,29,29,29,10000.0,1500.0
11,11,11,11,11,11,11,11,11,11,11,11,10000.0,1500.0
91,91,91,91,91,91,91,91,91,91,91,91,10000.0,1500.0
67,67,67,67,67,67,67,67,67,67,67,67,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
59,59,59,59,59,59,59,59,59,59,59,59,10000.0,1500.0
95,95,95,95,95,95,95,95,95,95,95,95,10000.0,1500.0
17,17,17,17,17,17,17,17,17,17,17,17,10000.0,1500.0
23,23,23,23,23,23,23,23,23,23,23,23,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
51,51,51,51,51,51,51,51,51,51,51,51,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
75,75,75,75,75,75,75,75,75,75,75,75,10000.0,1500.0
85,85,85,85,85,85,85,85,85,85,85,85,10000.0,1500.0
6,6,6,6,6,6,6,6,6,6,6,6,10000.0,1500.0
40,40,40,40,40,40,40,40,40,40,40,40,10000.0,1500.0
100,100,100,100,100,100,100,100,100,100,100,100,10000.0,1500.0
32,32,32,32,32,32,32,32,32,32,32,32,10000.0,1500.0
10,10,10,10,10,10,10,10,10,10,10,10,10000.0,1500.0
90,90,90,90,90,90,90,90,90,90,90,90,10000.0,1500.0
67,67,67,67,67,67,67,67,67,67,67,67,10000.0,1500.0
0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1500.0
61,61,61,61,61,61,61,61,61,61,61,61,10000.0,1500.0
93,93,93,93,93,93,93,93,93,93,93,93,10000.0,1500.0
14,14,14,14,14,14,14,14,14,14,14,14,10000.0,1500.0
27,27,27,27,27,27,27,27,27,27,27,27,10000.0,1500.0
99,99,99,99,99,99,99,99,99,99,99,99,10000.0,1500.0
44,44,44,44,44,44,44,44,44,44,44,44,10000.0,1500.0
4,4,4,4,4,4,4,4,4,4,4,4,10000.0,1500.0
83,83,83,83,83,83,83,83,83,83,83,83,10000.0,1500.0
76,76,76,76,76,76,76,76,76,76,76,76,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
53,53,53,53,53,53,53,53,53,53,53,53,10000.0,1500.0
97,97,97,97,97,97,97,97,97,97,97,97,10000.0,1500.0
19,19,19,19,19,19,19,19,19,19,19,19,10000.0,1500.0
22,22,22,22,22,22,22,22,22,22,22,22,10000.0,1500.0
98,98,98,98,98,98,98,98,98,98,98,98,10000.0,1500.0
50,50,50,50,50,50,50,50,50,50,50,50,10000.0,1500.0
3,3,3,3,3,3,3,3,3,3,3,3,10000.0,1500.0
79,79,79,79,79,79,79,79,79,79,79,79,10000.0,1500.0
79,79,79,79,79,79,79,79,79,79,79,79,10000.0,1500.0
2,2,2,2,2,2,2,2,2,2,2,2,10000.0,1500.0
50,50,50,50,50,50,50,50,50,50,50,50,10000.0,1500.0
